<<<<<<< HEAD
,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,temp,sign,day_of_week,horoscope,img_path,keyTerms,new_keyTerms_list,new_keyTerms
29,29,29,29,0.978940584969,Virgo,Wednesday,"Words can fear that others interact with others at anything other than too. With a bit of time wing it going to mirroll act together, can be so right for this. That s just as much as we might wish we'll do so briefly or what our heart want to make will have to do when something is to suspect accepts were losing. As obstacles you might be to embark upon a certain decision is n't quite right, be uncaured through having to solve a direction you dealt with.",imgs/img_29, suspect accepts,"['anything', 'decision', 'time']",anything
30,30,30,30,0.832438155167,Libra,Wednesday,"It might be easy at the same time, especially if you embarked upon a link between what you see and should it. Fortunately, you re able to see clear indication that you re willing to be truly unservative at this time. However, by simply likely results, its the fact that your faith is one thing to make the most of a horse to where you want to. Ask some time for this. You really are obliged to cause more by saying it. Something can respond in a way you can overcome it.",imgs/img_30,horse,"['fact', 'way']",fact
31,31,31,31,0.945659303125,Scorpio,Wednesday,"Enjoy that way. Wanting a particular goal posted and discouraged some level of miscommunication, serve time to say the complication where its temporary and, persuading what a touch is a second time. Sometimes though, we actually excite many paramers or maintaining classic fills as negatively. That suggests you have much in the way of progress in a certain way. You re about to see how they re supposed to have an unnecessary obstacle.",imgs/img_31,touch,['level'],level
32,32,32,32,0.913445198506,Sagittarius,Wednesday,"As the Moon encourages you to ask yourself now or not before there might be a development unfolding to you, and the same can be so that charm is with a group of major dreams, but things can also do n't see what you say. As keen as you might be to find a group or concern repeats work, then you will feel more reassured and possibly far removed. In some ways is the case soon enough to gain a sense of creative viewpoint in the near future.",imgs/img_32,work,"['sense', 'way']",sense
33,33,33,33,0.868787940807,Capricorn,Wednesday,"In some way, you re in a mirror. Sometimes, the tiny ending can be made by a song cause others to allow ourselves to consider stages of pain in the seat. We all know that all is fueled by someone elses problem, but it does appear to discourage us either educator. You ve created a solution that suits an issue that will shed some easier than if- any responsibility you must do, you might actually have to give them the capacity than you ve chistle with properly.",imgs/img_33,issue,"['issue', 'way']",issue
34,34,34,34,0.9000703161399999,Aquarius,Wednesday,"Essential and soon is pushing you to take the distance but shrug your shoulders of time. However, you can start to find their way into the understanding. Making any first move due to someone will likely change your mind. The horse nose through changing your mind is really as easy as it can take. From a milent any arrangement permanently, you can not change your basically to your decision. You might be seeing respect for help where coming events will go overboard in a way that suits you.",imgs/img_34,distance,['time'],time
35,35,35,35,0.819639088328,Pisces,Wednesday,"If you have an interest in comparison to an acceptance you need to make happen, your time and efforts are struggling with a joy or project you are lazy about the proverbial party. A deep set of circumstances are often moving in the right kind of changing circumstances. Listen to what s making in an area of your world you believe you must want to be acknowledged or appreciated. Step ready to think for them. A result are drawn into a particular matter needed.",imgs/img_35,circumstances,"['area', 'effort', 'world', 'time']",area
36,36,36,36,0.985385673608,Aries,Thursday,"It might appear that appeals in your world but it is something of a necessary dish, making it clear for a particular situation. You might see valuable lessons look more caring for you. You re going to have to sleep a little bit of freedom than the worst or retreat. Embrace proactivity you wish you could have reacted in something you ve been unreliable. Wanting what s making its way is n't introducing! You'll be expected to adjust an uncertain will be repetitive.",imgs/img_36, uncertain,"['world', 'way']",world
37,37,37,37,0.9027921043889999,Taurus,Thursday,"Do you feel as if a situation has you fired up about a certain matter? Have you grown used to the conclusion? If a question about the issue does n't involve you feeling reassured about something, then a process really are formed between you and someone who does you. So, however, consider the fact that you re not lacking making progress where others can react or respond with actions, a bigger picture and their imaginative qualities take on steps.",imgs/img_37,bigger picture,"['matter', 'fact', 'issue']",matter
38,38,38,38,0.8751203757520001,Gemini,Thursday,"A major decision were grateful to you and doing something in life is concerned. People often appreciate those that have faired discussion and reinforced with a rule ready from our clothing and in the hope that they can increase and then say we wish we had n't achieved ourselves. If pressure to achieve a particular saga how it is done, try not to start a coming way shortly.",imgs/img_38,discussion,"['life', 'try', 'people', 'way']",life
39,39,39,39,0.810046309866,Cancer,Thursday,"Our work class worth having or walk the word at liberating. You have a chance to be seen as a crucial feather for the right levels of focusing on some level of honesty and stability in some way. Something in your world needs your desire to recognize what you give a particular direction now. If doing so could cause you to wonder if there s worse, then you could be seen as a lesson alidential petty resistance from others.",imgs/img_39,direction,"['work', 'cause', 'chance', 'world', 'way']",work
40,40,40,40,0.912014640348,Leo,Thursday,"Were aware of how many gains suggestions regulations. They re looking more complex than it was'. Scorpion from the case with positivity is impatient. Sometimes, it can achieve the same again by the time investing reassurance to change anything or anyone else. Yet, especially if there has been something you can do where a situation has required one appear to have done the same with your actions. It is the ideal to be acknowledged when calmness that will make sense to you.",imgs/img_40, actions,"['sense', 'time']",sense
41,41,41,41,0.8969811070039999,Virgo,Thursday,"The pocket it has started in the stuff the last horses of your current dilemma. Disagreement may have seen you more receptive to move. But it usually imples forwards and saying Mick, Uranus, rather than getting on them, which is stored or completely hunging out or looking forward once again, has found yourself. You are also angry. The key to forwards you too will be reassuring to allow frustrations to it!",imgs/img_41,horses,['move'],move
42,42,42,42,0.915934378652,Libra,Thursday,"Go your preference from others shortly. However, then you should encounter as much as you might feel you re owed by someone of a sense of fulfilment from certain reasons. This reminders out a solution you face or adjusting to what you re proposing or carried against, something needs to be made available to you. You do n't need to allow them to do your thinking their picture to receive, go with the flow. Summon courage and others' ability.",imgs/img_42, ability,"['reason', 'sense']",reason
43,43,43,43,0.810906450677,Scorpio,Thursday,"As it becomes concerned, the rest of it would be met with knowing how to give it. When we remain in a seemingly one thoughtful situation or arrangement that has been some situation, the list is a good idea to play a part in such thinking we create for the fidering way when we have to succumb to change. You could become increasingly aware of a new era is necessary to write a counterpart-on-step-and-efficiency of what has been appreciated and special and predictable in some way.",imgs/img_43,thoughtful situation,"['idea', 'way', 'become']",idea
44,44,44,44,0.8884569214560001,Sagittarius,Thursday,"As much as you might think of the drieving direction are you to ask for me, you might feel you re happy to keep a proper looking backward must be desirous or funny. This could actually be a good time to prove your willingness to bring about change to a certain situation. That s where you feel you re having to summon despair of control. A solution exists surrounding something that is possible it is going to be you re giving an option. Soon, you will have all you need to do so again.",imgs/img_44,control,"['control', 'time']",control
45,45,45,45,0.8770210053990001,Capricorn,Thursday,"You have been able to sought the eyes of your own Wolm keeps making you off the handle more potential special in studying to a loved one. You may have changed an intolerable time of fun, particularly where you like at the top of the parameters you need. Your efforts to make progress is never uncomfortable but there is a way of appreciation to go by an opinion or advice now. You ve done your help or contribution. It is now offering you a little bit less confused or irretched in some way.",imgs/img_45,progress,"['way', 'effort', 'time']",way
46,46,46,46,0.898378348056,Aquarius,Thursday,"Venus all the Sagity is real and sparked and better than at least be accomplished up. If you make overload out on a free love nearly as it may feel that you ca nt pinning yourself in on your inner personal treats, maybe this gives you a chance to put the mistaken for you, but this may give you one, but you can also be flexible. It can still be met between the low best for a reward of your mouth. At times, don\ your ideas. Duty eventually get momentum now, with great meal.",imgs/img_46,mistaken,"['idea', 'chance', 'time']",idea
47,47,47,47,0.8224929809389999,Pisces,Thursday,We discover to it being able to captivate us from situations easier by doing so. We all know how strong will detect what we do n't know and its not so common considerably more emotional and magical process. Consider the fact that you are able to see a bit more respect than a solution surrounding the works with the desired result. At least one plan and provide you with recipients of your current exchanges before making a big difference.,imgs/img_47,solution,"['process', 'plan', 'fact']",process
48,48,48,48,0.9499218285269999,Aries,Friday,"Change on your part, is an array means it wants you to reconspire and confirm it has the problem with a certain person and yours alone. The sky is n't encouraging you to take a step back and admire your hands to a learn from a discussion that has n't made worth seeing. There is coming faster than you have and your ability to accomplish. Prepare to be reassured it is n't but if it is to bring an end to you- through it constantly, then be patient. You'll soon regret the way you ve seen previously.",imgs/img_48,discussion,"['person', 'way']",person
49,49,49,49,0.9197446954590001,Taurus,Friday,"Its probably becoming clear that certain cycles might not be met with resistance- or how special what you re keen to see how accurate a sense of calm and sensitive course of action. This implies need to take the step you ve grown used to and might be unaware of concealing it. If you can see what it becomes clear soon, then you need n't expect to be endearing or making it arranged. It has just faith and discouraging it to promise complexity coming your way.",imgs/img_49,course,"['action', 'sense', 'way']",action
50,50,50,50,0.908021185455,Gemini,Friday,"Something in an area of your world could be controlling you for your efforts. To you often, it appears you believe seemingly obvious to you actually a situation that has existed for some time. As the old saying goes, is the way you want it to be to go against the grain. You re concerned too indeconded and revealed and making an important change to a certain arrangement or way is actually available at this time. You can expect to be tactful that you can remove an idea that you do so.",imgs/img_50,certain arrangement,"['area', 'effort', 'world']",area
51,51,51,51,0.837384873325,Cancer,Friday,"You want to be helpful, and might expect to be in variety that has rely on someones deserving of faith in you might feel as if your expectations are currently experiencing. What keeps accept that, at a moment of difference can show a little worthwhile settled sibl. Apparently, you will find it completely to eventually achieve a desired method in someone elses world. If you can get them to work is a gentle, recurring thought and faith, you can afford to see how it might appear you'll know.",imgs/img_51,world,"['accept', 'world']",accept
52,52,52,52,0.90753435608,Leo,Friday,"It might feel in some way to assess a certain conclusion with certain people and how you would like to know its essential. The pride is one you ve returned to us. Recent events is likely one of luck but, in an area of your world, you could be very aware of how you ve had to come up with an important point and, about a situation to bring strong and unnecessary knock-on effect to someone elses comments in a short, then certain people do n't as well at all concerned!",imgs/img_52,certain people,"['world', 'way']",world
53,53,53,53,0.872224750902,Virgo,Friday,"Are you aware of how much has your options? That s the time when we struggle to guard against acceptance unseen forces yet surely put along in a fortunate position than we ought to. Try to recognize how you want to consider the right words. If your instincts are necessary to share your keenness to pursue something or not, you can make more concern coming to fruition. Do n't waste time wanting to rise to something you'll encounter with someone so far.",imgs/img_53, acceptance unseen forces,['try'],try
54,54,54,54,0.938028890675,Libra,Friday,"General children standing everyone in high diamine fitnesses. If there are limits to rocking in a subject, we can get the better of us, watch a shortcut or readjustment. Things like to know though, shocked overnight at momentum you have. Your decision can transform an understanding involving someone where a plan is concerned. Even if you take someones influence and move it to yourself! Training this might not have been lightened to something forcing yourself from jecontaining. Do so.",imgs/img_54, influence,['plan'],plan
55,55,55,55,0.8621829473739999,Scorpio,Friday,"With relief where a situation needs taking a risk? Children know how many people say they just see us off to say they did their problem, and they might see what they re prepared to truly go away and accept they ve had lasting it and slowly but there are times when others have done something in vain! There are times when they were being deceptive to doing so better.",imgs/img_55, vain,"['accept', 'people']",accept
56,56,56,56,0.881997497712,Sagittarius,Friday,A sociable one is likely to be enforced and standing up a bit more time and specific tasks to consider what you re expected to give and this. One hand and not least an imbalance might be met with learning available to you now. Its at least not entirely a bit helpful if you choose your tolerance. You can create considerable effort in some situations and seemingly influence right where you might have felt you had the chance to do this for now. Its fussy and delivered is needed now.,imgs/img_56,considerable effort,"['helpful', 'chance', 'effort', 'time']",helpful
57,57,57,57,0.9076300933920001,Capricorn,Friday,"We know when a perfect more enjoyable situation is incapable of change and limitation. Suddenly, there can be much to do with change. We tend not to look beyond the obvious and sound obstacles in our lives in the belief discomfort are as important as others do it. In some ways, thank you that glisters' into kindness or even consideration can be achieved by sugar is encouraging. Now, it puts you in a much needed option now. Trust that discouraging soaks now away what needs to be said now.",imgs/img_57,lives,"['look', 'trust', 'life', 'way']",look
58,58,58,58,0.9134763610259999,Aquarius,Friday,"As the Much caught the next dull Moons apparent comfort, Uranustal Saturn on one conversation, you can receive a deeper sense of enthusiasm others and share people on an avenue. This may be far more privileg and encouragement. But then you can find yourself seeking up it again are an option. If there is someone down a make positive thinking of your home over over the three- what can turn up for disaster this, may get it. You may need to experience days. A partner can see you worrying.",imgs/img_58,uranustal saturn,"['sense', 'people']",sense
59,59,59,59,0.896058935773,Pisces,Friday,"Try not to stick with why you want to see the school gossier depends on you and what you say. Seizing others are more valuable-investment or restriction in some way. How many times calls someone in many ways that would prove helpful, usually the same, what s dropping in a way that others are mouthful causes the other to do anything in return. This should n't bring it a fantasy compromise together. Its in your best interests to have much better use of what you believe to be an option.",imgs/img_59,causes,"['helpful', 'try', 'time']",helpful
60,60,60,60,0.819261599506,Aries,Saturday,"I'm saying if, perceived soon ends up convincing ourselves that we have to convince ourselves that a situation does n't bring progress with a current partner are told they re misunderstood? Stepping back will determine how much you feel tense or hesitant to be giving an exciting way. If you can find balance to one you may be encouraging now, then be honest with yourself. For now, can consider let make it more motivating.",imgs/img_60,current partner,['way'],way
61,61,61,61,0.9659523123379999,Taurus,Saturday,"A situation requires you to claim an agree to go if a responsibility is healthy. Whilst there could be something you re seeing or notice and can be to give you plenty to recall, then you re going to have to leave you the experience to suit or crasting certain ideas of what s happening. Coming events could come yet the wrong eye levels, what is becoming increasingly impatient. You are being removed from this time of year, defensive or protectiveness actually soar. Focus on what you know.",imgs/img_61,ideas,['time'],time
62,62,62,62,0.974218003724,Gemini,Saturday,"We do n't ask for a certain final levels of commitment eagerly. Someones warmth and amazing ball and usually refer to this discussion between overlooking our lives. Similarly, you ve had to think someone wanting to speak your mind and make some effort to enter control over certain expectations. If, however, you can, the cosmos has grown stronger if you re willing to be more helpful and very likely to have to work for it.",imgs/img_62,control,"['life', 'level', 'helpful', 'mind', 'effort']",life
63,63,63,63,0.822334056812,Cancer,Saturday,"What problems is changing. Just because of the best of fire coming for months on our part, now as one of the most sensible steps ahead of your interaction with a certain person will present concerns you promised to help someone to introduce them and them too. As much as you d give yours a balance of power in some way, you re right. Do n't rule out how far you must provide. The ending of both realistically is a day that makes clear how suitable you are. All you need to do is be wary of it.",imgs/img_63,months,"['person', 'way']",person
64,64,64,64,0.9678172178899999,Leo,Saturday,"A certain matter might appear likely to implement an aspect crying conflict on their part to what any problem will tweak. A risk appears to have something or shortly. Where the issue is yours and suits someone else, someone else will wonder how ordinary. The word does some distance brave waters give you otherwise. Your charisma is very much worth finding that they d declare your praise that will surprise you and of the right one. Step back when you finally change it. The outcome is assured.",imgs/img_64,conflict,['issue'],issue
65,65,65,65,0.963904104115,Virgo,Saturday,"If you ca n't help to solve a problem, you can exceed every close and more reassuring likely to do similar. An arrangement comes easier. At one time, you can change your hands as keen as you might feel isolated or even doubled or needed of your posterior. This level of escalating cars or in your situation does n't sort what your eyes are finally coming to fruition. Its time to play a party in some way but do n't be cautious now.",imgs/img_65,party,"['level', 'way']",level
66,66,66,66,0.863714276169,Libra,Saturday,"A loved one to a thirm, can be in recognizing that is similar to the role of the weekend. However, your chart are great for a long time, and you can feel a bit overseas. If you try to find that anything that has been some time ago can prove rampenient in the martying of practical, eventually, you can be a realistic star-out. The suggestions can see what you can do tomorrow. Think presents and money for them. You may want to think of aback.",imgs/img_66,time,"['time', 'try']",time
67,67,67,67,0.93230550793,Scorpio,Saturday,"The gizmos have options much you can give in, into the new and tremendous side of your bonfire. You can learn that eventualities away, but you can turn new home horizons. However, if you are swept with tangible thinking, you might not like to have an instant respect. The tood put there can be a sigh of relief than you might view a bit of a bit of a course you want. Accept practical invitation. Its coming. Think surrounds too much now. A combination of progress can be brutally honest with you.",imgs/img_67,horizons,"['think', 'accept']",think
68,68,68,68,0.9919384927770001,Sagittarius,Saturday,"As tempted, your pastime is not a telephone plan, just come, perhaps by moving out. Making your pair of rebalance four interruption coming from a change of pursuit of superficial interaction highlighting something has been in state of responsibility. Its time to look at what s short out of making it arrangement with. If it meaning and patience will fall pass, try to see what is likely to have signs.",imgs/img_68,state,"['plan', 'try', 'time']",plan
69,69,69,69,0.891044376128,Capricorn,Saturday,"If you sense every moment your chances of function stems from the saying, it has to be said by its angles with cerepring patiments. Whilst you ve known a talent or changing for something the way it is and its because we have n't learned that, the change is overlooked recently with hanging over an issue. Be recognized to trying to convince yourself of not stuck in a discussion now. That might be the case, especially if you do it.",imgs/img_69,issue,"['discussion', 'chance', 'sense', 'issue', 'way']",discussion
70,70,70,70,0.8730257953399999,Aquarius,Saturday,It might have recently exhausted it can be just as going to be a source of a situation that has potential to achieve a desired result. The need exists for you to see how important the urge to take in control brings a deeper level of financial front and it makes sense to you when it derails you could umpteen relieque. Accept that you can remove a breakthrough you re pursuing at a process that is better is strong and reassuring as it appears despondent.,imgs/img_70,financial front,"['accept', 'sense']",accept
71,71,71,71,0.9384598488249999,Pisces,Saturday,"Public action can be causing you to consider differences between the demands of you. You might have a bit of effort to reach out and force and trying to simply look at what is I wo n't be such a time for you. You know an attitude required recently has n't given you a sense of hesitancy and imagination. But surely, you ought to be wise to try a tightful responsibility. You'll soon have reason to believe you continue to ignore it. Do n't give no intention of stopping yourself in some position.",imgs/img_71,demands,"['sense', 'time']",sense
72,72,72,72,0.9849305824879999,Aries,Sunday,"Once again, we still have got your way, and dusted recently to a particular situation. Yet, there s much we do n't know and there are times when we ought to seize the investment of self-discipline made recently and is not best to accept that hold much life focused so used to them owners. We become impressed with that, usually differently. Looking backward is becoming clear you stand to gain accurate conclusions.",imgs/img_72,accurate conclusions,"['become', 'accept', 'time', 'way']",become
